year,month,day,hour,value
2010,1,6,4,27
2010,1,6,5,28
2010,1,6,6,21
2010,1,6,7,25
2010,1,6,8,20
2010,1,6,9,29
2010,1,6,10,34
2010,1,6,11,42
2010,1,6,12,28
2010,1,6,13,36
2010,1,6,14,48
2010,1,6,15,49
2010,1,6,16,52
2010,1,6,17,56
2010,1,6,18,96
2010,1,6,19,75
2010,1,6,20,105
2010,1,6,21,132
2010,1,6,22,93
2010,1,6,23,131
2010,1,7,0,127
2010,1,7,1,130
2010,1,7,2,43
2010,1,7,3,37
2010,1,7,4,30
2010,1,7,5,28
2010,1,7,6,24
2010,1,7,7,23
2010,1,7,8,24
2010,1,7,9,27
2010,1,7,10,40
2010,1,7,11,42
2010,1,7,12,42
2010,1,7,13,55
2010,1,7,14,52
2010,1,7,15,51
2010,1,7,16,57
2010,1,7,17,50
2010,1,7,18,54
2010,1,7,19,67
2010,1,7,20,106
2010,1,7,21,159
2010,1,7,22,198
2010,1,7,23,190
2010,1,8,0,210
2010,1,8,1,195
2010,1,8,2,275
2010,1,8,3,164
2010,1,8,4,110
2010,1,8,5,100
2010,1,8,6,81
2010,1,8,7,71
2010,1,8,8,66
2010,1,8,9,92
2010,1,8,10,135
2010,1,8,11,155
2010,1,8,12,198
2010,1,8,13,250
2010,1,8,14,200
2010,1,8,15,231
2010,1,8,16,250
2010,1,8,17,212
2010,1,8,18,219
2010,1,8,19,227
2010,1,8,20,226
2010,1,8,21,225
2010,1,8,22,168
2010,1,8,23,169
2010,1,9,0,165
2010,1,9,1,159
2010,1,9,2,167
2010,1,9,3,196
2010,1,9,4,169
2010,1,9,5,155
2010,1,9,6,119
2010,1,9,7,106
2010,1,9,8,93
2010,1,9,9,84
2010,1,9,10,73
2010,1,9,11,66
2010,1,9,12,40
2010,1,9,13,49
2010,1,9,14,50
2010,1,9,15,49
2010,1,9,16,41
2010,1,9,17,37
2010,1,9,18,45
2010,1,9,19,44
2010,1,9,20,54
2010,1,9,21,50
2010,1,9,22,47
2010,1,9,23,66
2010,1,10,0,75
2010,1,10,1,82
2010,1,10,2,66
2010,1,10,3,83
2010,1,10,4,62
2010,1,10,5,40
2010,1,10,6,23
2010,1,10,7,25
2010,1,10,8,27
2010,1,10,9,35
2010,1,10,10,50
2010,1,10,11,70
2010,1,10,12,75
2010,1,10,13,58
2010,1,10,14,70
2010,1,10,15,68
2010,1,10,16,71
2010,1,10,17,88
2010,1,10,18,84
2010,1,10,19,83
2010,1,10,20,66
2010,1,10,21,27
2010,1,10,22,24
2010,1,10,23,22
2010,1,11,0,23
2010,1,11,1,27
2010,1,11,2,23
2010,1,11,3,17
2010,1,11,4,17
2010,1,11,5,16
2010,1,11,6,16
2010,1,11,7,20
2010,1,11,8,20
2010,1,11,9,18
2010,1,11,10,25
2010,1,11,11,26
2010,1,11,12,27
2010,1,11,13,28
2010,1,11,14,15
2010,1,11,15,24
2010,1,11,16,13
2010,1,11,17,13
2010,1,11,18,13
2010,1,11,19,17
2010,1,11,20,20
2010,1,11,21,27
2010,1,11,22,20
2010,1,11,23,15
2010,1,12,0,21
2010,1,12,1,21
2010,1,12,2,37
2010,1,12,3,26
2010,1,12,4,15
2010,1,12,5,9
2010,1,12,6,11
2010,1,12,7,11
2010,1,12,8,16
2010,1,12,9,13
2010,1,12,10,15
2010,1,12,11,21
2010,1,12,12,24
2010,1,12,13,22
2010,1,12,14,22
2010,1,12,15,22
2010,1,12,16,19
2010,1,12,17,23
2010,1,12,18,25
2010,1,12,19,25
2010,1,12,20,31
2010,1,12,21,25
2010,1,12,22,22
2010,1,12,23,22
2010,1,13,0,15
2010,1,13,1,16
2010,1,13,2,11
2010,1,13,3,11
2010,1,13,4,12
2010,1,13,5,11
2010,1,13,6,12
2010,1,13,7,27
2010,1,13,8,28
2010,1,13,9,34
2010,1,13,10,33
2010,1,13,11,36
2010,1,13,12,26
2010,1,13,13,49
2010,1,13,14,52
2010,1,13,15,47
2010,1,13,16,47
2010,1,13,17,39
2010,1,13,18,59
2010,1,13,19,76
2010,1,13,20,96
2010,1,13,21,95
2010,1,13,22,68
2010,1,13,23,65
2010,1,14,0,75
2010,1,14,1,257
2010,1,14,2,174
2010,1,14,3,164
2010,1,14,4,161
2010,1,14,5,137
2010,1,14,6,92
2010,1,14,7,64
2010,1,14,8,87
2010,1,14,9,87
2010,1,14,10,84
2010,1,14,11,95
2010,1,14,12,79
2010,1,14,13,75
2010,1,14,14,79
2010,1,14,15,86
2010,1,14,16,72
2010,1,14,17,89
2010,1,14,18,94
2010,1,14,19,69
2010,1,14,20,49
2010,1,14,21,33
2010,1,14,22,27
2010,1,14,23,20
2010,1,15,0,36
2010,1,15,1,37
2010,1,15,2,30
2010,1,15,3,18
2010,1,15,4,21
2010,1,15,5,13
2010,1,15,6,23
2010,1,15,7,26
2010,1,15,8,27
2010,1,15,9,30
2010,1,15,10,28
2010,1,15,11,26
2010,1,15,12,26
2010,1,15,13,31
2010,1,15,14,35
2010,1,15,15,36
2010,1,15,16,37
2010,1,15,17,64
2010,1,15,18,83
2010,1,15,19,91
2010,1,15,20,90
2010,1,15,21,102
2010,1,15,22,94
2010,1,15,23,87
2010,1,16,0,141
2010,1,16,1,211
2010,1,16,2,242
2010,1,16,3,271
2010,1,16,4,249
2010,1,16,5,200
2010,1,16,6,147
2010,1,16,7,114
2010,1,16,8,102
2010,1,16,9,108
2010,1,16,10,135
2010,1,16,11,120
2010,1,16,12,148
2010,1,16,13,127
2010,1,16,14,128
2010,1,16,15,140
2010,1,16,16,148
2010,1,16,17,150
2010,1,16,18,154
2010,1,16,19,197
2010,1,16,20,235
2010,1,16,21,261
2010,1,16,22,269
2010,1,16,23,266
2010,1,17,0,263
2010,1,17,1,241
2010,1,17,2,205
2010,1,17,3,160
2010,1,17,4,150
2010,1,17,5,148
2010,1,17,6,208
2010,1,17,7,209
2010,1,17,8,183
2010,1,17,9,161
2010,1,17,10,182
2010,1,17,11,230
2010,1,17,12,170
2010,1,17,13,172
2010,1,17,14,154
2010,1,17,15,166
2010,1,17,16,177
2010,1,17,17,191
2010,1,17,18,212
2010,1,17,19,250
2010,1,17,20,268
2010,1,17,21,317
2010,1,17,22,291
2010,1,17,23,313
2010,1,18,0,282
2010,1,18,1,282
2010,1,18,2,303
2010,1,18,3,349
2010,1,18,4,407
2010,1,18,5,361
2010,1,18,6,234
2010,1,18,7,149
2010,1,18,8,147
2010,1,18,9,184
2010,1,18,10,161
2010,1,18,11,137
2010,1,18,12,146
2010,1,18,13,144
2010,1,18,14,154
2010,1,18,15,173
2010,1,18,16,188
2010,1,18,17,203
2010,1,18,18,233
2010,1,18,19,408
2010,1,18,20,435
2010,1,18,21,403
2010,1,18,22,360
2010,1,18,23,402
2010,1,19,0,358
2010,1,19,1,383
2010,1,19,2,332
2010,1,19,3,274
2010,1,19,4,256
2010,1,19,5,302
2010,1,19,6,330
2010,1,19,7,367
2010,1,19,8,297
2010,1,19,9,331
2010,1,19,10,323
2010,1,19,11,339
2010,1,19,12,301
2010,1,19,13,310
2010,1,19,14,305
2010,1,19,15,313
2010,1,19,16,336
2010,1,19,17,357
2010,1,19,18,485
2010,1,19,19,426
2010,1,19,20,403
2010,1,19,21,374
2010,1,19,22,333
2010,1,19,23,343
2010,1,20,0,364
2010,1,20,1,389
2010,1,20,2,368
2010,1,20,3,267
2010,1,20,4,71
2010,1,20,5,81
2010,1,20,6,51
2010,1,20,7,49
2010,1,20,8,44
2010,1,20,9,45
2010,1,20,10,35
2010,1,20,11,29
2010,1,20,12,27
2010,1,20,13,29
2010,1,20,14,16
2010,1,20,15,23
2010,1,20,16,28
2010,1,20,17,22
2010,1,20,18,11
2010,1,20,19,25
2010,1,20,20,16
2010,1,20,21,20
2010,1,20,22,20
2010,1,20,23,18
2010,1,21,0,18
2010,1,21,1,17
2010,1,21,2,17
2010,1,21,3,17
2010,1,21,4,15
2010,1,21,5,19
2010,1,21,6,16
2010,1,21,7,18
2010,1,21,8,18
2010,1,21,9,18
2010,1,21,10,26
2010,1,21,11,26
2010,1,21,12,25
2010,1,21,13,24
2010,1,21,14,15
2010,1,21,15,17
2010,1,21,16,15
2010,1,21,17,21
2010,1,21,18,40
2010,1,21,19,51
2010,1,21,20,45
2010,1,21,21,61
2010,1,21,22,72
2010,1,21,23,38
2010,1,22,0,35
2010,1,22,1,29
2010,1,22,2,26
2010,1,22,3,18
2010,1,22,4,15
2010,1,22,5,15
2010,1,22,6,22
2010,1,22,7,21
2010,1,22,8,19
2010,1,22,9,22
2010,1,22,10,25
2010,1,22,11,22
2010,1,22,12,26
2010,1,22,13,32
2010,1,22,14,30
2010,1,22,15,32
2010,1,22,16,30
2010,1,22,17,32
2010,1,22,18,37
2010,1,22,19,49
2010,1,22,20,47
2010,1,22,21,39
2010,1,22,22,35
2010,1,22,23,48
2010,1,23,0,49
2010,1,23,1,24
2010,1,23,2,23
2010,1,23,3,20
2010,1,23,4,19
2010,1,23,5,16
2010,1,23,6,22
2010,1,23,7,24
2010,1,23,8,24
2010,1,23,9,41
2010,1,23,10,23
2010,1,23,11,19
2010,1,23,12,15
2010,1,23,13,19
2010,1,23,14,17
2010,1,23,15,17
2010,1,23,16,22
2010,1,26,12,88
2010,1,26,13,85
2010,1,26,14,90
2010,1,26,15,127
2010,1,26,16,144
2010,1,26,17,203
2010,1,26,18,199
2010,1,26,19,231
2010,1,26,20,274
2010,1,26,21,340
2010,1,26,22,298
2010,1,26,23,268
2010,1,27,0,299
2010,1,27,1,300
2010,1,27,2,240
2010,1,27,3,213
2010,1,27,4,171
2010,1,27,5,153
2010,1,27,6,153
2010,1,27,7,140
2010,1,27,8,147
2010,1,27,9,158
2010,1,27,10,153
2010,1,27,11,154
2010,1,27,12,143
2010,1,27,13,90
2010,1,27,14,55
2010,1,27,15,52
2010,1,27,16,41
2010,1,27,17,29
2010,1,27,18,37
2010,1,27,19,49
2010,1,27,20,56
2010,1,27,21,38
2010,1,27,22,37
2010,1,27,23,28
2010,1,28,0,20
2010,1,28,1,22
2010,1,28,2,27
2010,1,28,3,34
2010,1,28,4,27
2010,1,28,5,32
2010,1,28,6,28
2010,1,28,7,28
2010,1,28,8,18
2010,1,28,9,17
2010,1,28,10,16
2010,1,28,11,18
2010,1,28,12,16
2010,1,28,13,12
2010,1,28,14,13
2010,1,28,15,23
2010,1,28,16,21
2010,1,28,17,13
2010,1,28,18,14
2010,1,28,19,23
2010,1,28,20,16
2010,1,28,21,25
2010,1,28,22,20
2010,1,28,23,25
2010,1,29,0,19
2010,1,29,1,24
2010,1,29,2,25
2010,1,29,3,20
2010,1,29,4,24
2010,1,29,5,17
2010,1,29,6,10
2010,1,29,7,11
2010,1,29,8,16
2010,1,29,9,20
2010,1,29,10,13
2010,1,29,11,12
2010,1,29,12,12
2010,1,29,13,12
2010,1,29,14,12
2010,1,29,15,31
2010,1,29,16,36
2010,1,29,17,42
2010,1,29,18,52
2010,1,29,19,26
2010,1,29,20,24
2010,1,29,21,25
2010,1,29,22,43
2010,1,29,23,47
2010,1,30,0,61
2010,1,30,1,66
2010,1,30,2,65
2010,1,30,3,70
2010,1,30,4,36
2010,1,30,5,37
2010,1,30,6,22
2010,1,30,7,24
2010,1,30,8,29
2010,1,30,9,35
2010,1,30,10,35
2010,1,30,11,33
2010,1,30,12,32
2010,1,30,13,25
2010,1,30,14,16
2010,1,30,15,26
2010,1,30,16,32
2010,1,30,17,36
2010,1,30,18,37
2010,1,30,19,45
2010,1,30,20,71
2010,1,30,21,67
2010,1,30,22,69
2010,1,30,23,94
2010,1,31,0,85
2010,1,31,1,35
2010,1,31,2,26
2010,1,31,3,24
2010,1,31,4,20
2010,1,31,5,16
2010,1,31,6,18
2010,1,31,7,19
2010,1,31,8,22
2010,1,31,9,17
2010,1,31,10,18
2010,1,31,11,11
2010,1,31,12,11
2010,1,31,13,16
2010,1,31,14,18
2010,1,31,15,17
2010,1,31,16,19
2010,1,31,17,26
2010,1,31,18,24
2010,1,31,19,54
2010,1,31,20,71
2010,1,31,21,129
2010,1,31,22,145
2010,1,31,23,101
2010,2,1,0,65
2010,2,1,1,70
2010,2,1,2,67
2010,2,1,3,76
2010,2,1,4,76
2010,2,1,5,68
2010,2,1,6,73
2010,2,1,7,73
2010,2,1,8,64
2010,2,1,9,53
2010,2,1,10,72
2010,2,1,11,78
2010,2,1,12,72
2010,2,1,13,56
2010,2,1,14,54
2010,2,1,15,40
2010,2,1,16,49
2010,2,1,17,63
2010,2,1,18,66
2010,2,1,19,64
2010,2,1,20,63
2010,2,1,21,65
2010,2,1,22,64
2010,2,1,23,64
2010,2,2,0,62
2010,2,2,1,56
2010,2,2,2,87
2010,2,2,3,72
2010,2,2,4,104
2010,2,2,5,97
2010,2,2,6,96
2010,2,2,7,86
2010,2,2,8,85
2010,2,2,9,92
2010,2,2,10,55
2010,2,2,11,36
2010,2,2,12,27
2010,2,2,13,25
2010,2,2,14,28
2010,2,2,15,32
2010,2,2,16,35
2010,2,2,17,43
2010,2,2,18,70
2010,2,2,19,83
2010,2,2,20,66
2010,2,2,21,70
2010,2,2,22,80
2010,2,2,23,88
2010,2,3,0,69
2010,2,3,1,71
2010,2,3,2,62
2010,2,3,3,73
2010,2,3,4,107
2010,2,3,5,94
2010,2,3,6,121
2010,2,3,7,132
2010,2,3,8,161
2010,2,3,9,120
2010,2,3,10,72
2010,2,3,11,58
2010,2,3,12,34
2010,2,3,13,14
2010,2,3,14,17
2010,2,3,15,15
2010,2,3,16,23
2010,2,3,17,34
2010,2,3,18,96
2010,2,3,19,87
2010,2,3,20,87
2010,2,3,21,95
2010,2,3,22,105
2010,2,3,23,114
2010,2,4,0,103
2010,2,4,1,99
2010,2,4,2,102
2010,2,4,3,104
2010,2,4,4,78
2010,2,4,5,33
2010,2,4,6,29
2010,2,4,7,27
2010,2,4,8,27
2010,2,4,9,26
2010,2,4,10,33
2010,2,4,11,29
2010,2,4,12,31
2010,2,4,13,28
2010,2,4,14,28
2010,2,4,15,61
2010,2,4,16,64
2010,2,4,17,80
2010,2,4,18,91
2010,2,4,19,79
2010,2,4,20,48
2010,2,4,21,59
2010,2,4,22,82
2010,2,4,23,63
2010,2,5,0,48
2010,2,5,1,54
2010,2,5,2,42
2010,2,5,3,47
2010,2,5,4,87
2010,2,5,5,105
2010,2,5,6,90
2010,2,5,7,101
2010,2,5,8,126
2010,2,5,9,114
2010,2,5,10,103
2010,2,5,11,114
2010,2,5,12,100
2010,2,5,13,72
2010,2,5,14,68
2010,2,5,15,72
2010,2,5,16,71
2010,2,5,17,80
2010,2,5,18,70
2010,2,5,19,63
2010,2,5,20,67
2010,2,5,21,62
2010,2,5,22,69
2010,2,5,23,58
2010,2,6,0,51
2010,2,6,1,51
2010,2,6,2,54
2010,2,6,3,45
2010,2,6,4,47
2010,2,6,5,85
2010,2,6,6,78
2010,2,6,7,68
2010,2,6,8,64
2010,2,6,9,65
2010,2,6,10,80
2010,2,6,11,74
2010,2,6,12,93
2010,2,6,13,77
2010,2,6,14,67
2010,2,6,15,84
2010,2,6,16,77
2010,2,6,17,83
2010,2,6,18,82
2010,2,6,19,100
2010,2,6,20,189
2010,2,6,21,99
2010,2,6,22,71
2010,2,6,23,43
2010,2,7,0,64
2010,2,7,1,68
2010,2,7,2,69
2010,2,7,3,65
2010,2,7,4,71
2010,2,7,5,77
2010,2,7,6,81
2010,2,7,7,88
2010,2,7,8,90
2010,2,7,9,92
2010,2,7,10,88
2010,2,7,11,80
2010,2,7,12,100
2010,2,7,13,105
2010,2,7,14,118
2010,2,7,15,125
2010,2,7,16,141
2010,2,7,17,152
2010,2,7,18,164
2010,2,7,19,147
2010,2,7,20,162
2010,2,7,21,157
2010,2,7,22,156
2010,2,7,23,160
2010,2,8,0,178
2010,2,8,1,187
2010,2,8,2,181
2010,2,8,3,185
2010,2,8,4,197
2010,2,8,5,180
2010,2,8,6,172
2010,2,8,7,166
2010,2,8,8,136
2010,2,8,9,133
2010,2,8,10,140
2010,2,8,11,159
2010,2,8,12,169
2010,2,8,13,170
2010,2,8,14,184
2010,2,8,15,163
2010,2,8,16,140
2010,2,8,17,144
2010,2,8,18,166
2010,2,8,19,196
2010,2,8,20,227
2010,2,8,21,210
2010,2,8,22,233
2010,2,8,23,258
2010,2,9,0,247
2010,2,9,1,230
2010,2,9,2,273
2010,2,9,3,253
2010,2,9,4,254
2010,2,9,5,241
2010,2,9,6,229
2010,2,9,7,199
2010,2,9,8,193
2010,2,9,9,207
2010,2,9,10,176
2010,2,9,11,91
2010,2,9,12,58
2010,2,9,13,39
2010,2,9,14,50
2010,2,9,15,51
2010,2,9,16,49
2010,2,9,17,54
2010,2,9,18,153
2010,2,9,19,181
2010,2,9,20,181
2010,2,9,21,182
2010,2,9,22,156
2010,2,9,23,27
2010,2,10,0,16
2010,2,10,1,22
2010,2,10,2,21
2010,2,10,3,6
2010,2,10,4,8
2010,2,10,5,8
2010,2,10,6,8
2010,2,10,7,10
2010,2,10,8,9
2010,2,10,9,20
2010,2,10,10,14
2010,2,10,11,16
2010,2,10,12,14
2010,2,10,13,10
2010,2,10,14,7
2010,2,10,15,8
2010,2,10,16,12
2010,2,10,17,15
2010,2,10,18,8
2010,2,10,19,11
2010,2,10,20,18
2010,2,10,21,16
2010,2,10,22,11
2010,2,10,23,10
2010,2,11,0,11
2010,2,11,1,10
2010,2,11,2,10
2010,2,11,3,12
2010,2,11,4,12
2010,2,11,5,10
2010,2,11,6,10
2010,2,11,7,9
2010,2,11,8,9
2010,2,11,9,11
2010,2,11,10,12
2010,2,11,11,12
2010,2,11,12,12
2010,2,11,13,21
2010,2,11,14,18
2010,2,11,15,13
2010,2,11,16,18
2010,2,11,17,17
2010,2,11,18,19
2010,2,11,19,22
2010,2,11,20,20
2010,2,11,21,24
2010,2,11,22,19
2010,2,11,23,13
2010,2,12,0,17
2010,2,12,1,22
2010,2,12,2,16
2010,2,12,3,16
2010,2,12,4,11
2010,2,12,5,10
2010,2,12,6,9
2010,2,12,7,11
2010,2,12,8,14
2010,2,12,9,21
2010,2,12,10,26
2010,2,12,11,21
2010,2,12,12,19
2010,2,12,13,13
2010,2,12,14,13
2010,2,12,15,13
2010,2,12,16,13
2010,2,12,17,11
2010,2,12,18,19
2010,2,12,19,22
2010,2,12,20,50
2010,2,12,21,58
2010,2,12,22,60
2010,2,12,23,69
2010,2,13,0,108
2010,2,13,1,51
2010,2,13,2,54
2010,2,13,3,38
2010,2,13,4,27
2010,2,13,5,23
2010,2,13,6,27
2010,2,13,7,28
2010,2,13,8,24
2010,2,13,9,26
2010,2,13,10,23
2010,2,13,11,37
2010,2,13,12,46
2010,2,13,13,49
2010,2,13,14,53
2010,2,13,15,57
2010,2,13,16,51
2010,2,13,17,64
2010,2,13,18,100
2010,2,13,19,113
2010,2,13,20,136
2010,2,13,21,213
2010,2,13,22,259
2010,2,13,23,267
2010,2,14,0,351
2010,2,14,1,980
2010,2,14,2,790
2010,2,14,3,599
2010,2,14,4,39
2010,2,14,5,7
2010,2,14,6,8
2010,2,14,7,7
2010,2,14,8,7
2010,2,14,9,7
2010,2,14,10,16
2010,2,14,11,19
2010,2,14,12,15
2010,2,14,13,21
2010,2,14,14,18
2010,2,14,15,16
2010,2,14,16,15
2010,2,14,17,16
2010,2,14,18,16
2010,2,14,19,21
2010,2,14,20,36
2010,2,14,21,51
2010,2,14,22,67
2010,2,14,23,46
2010,2,15,0,45
2010,2,15,1,27
2010,2,15,2,24
2010,2,15,3,18
2010,2,15,4,15
2010,2,15,5,17
2010,2,15,6,11
2010,2,15,7,16
2010,2,15,8,16
2010,2,15,9,39
2010,2,15,10,25
2010,2,15,11,17
2010,2,15,12,8
2010,2,15,13,11
2010,2,15,14,14
2010,2,15,15,15
2010,2,15,16,15
2010,2,15,17,13
2010,2,15,18,13
2010,2,15,19,26
2010,2,15,20,50
2010,2,15,21,73
2010,2,15,22,96
2010,2,15,23,116
2010,2,16,0,146
2010,2,16,1,113
2010,2,16,2,91
2010,2,16,3,70
2010,2,16,4,65
2010,2,16,5,51
2010,2,16,6,29
2010,2,16,7,30
2010,2,16,8,26
2010,2,16,9,26
2010,2,16,10,24
2010,2,16,11,21
2010,2,16,12,24
2010,2,16,13,39
2010,2,16,14,79
2010,2,16,15,99
2010,2,16,16,118
2010,2,16,17,140
2010,2,16,18,159
2010,2,16,19,161
2010,2,16,20,167
2010,2,16,21,178
2010,2,16,22,192
2010,2,16,23,198
2010,2,17,0,207
2010,2,17,1,237
2010,2,17,2,247
2010,2,17,3,227
2010,2,17,4,176
2010,2,17,5,113
2010,2,17,6,46
2010,2,17,7,18
2010,2,17,8,13
2010,2,17,9,22
2010,2,17,10,15
2010,2,17,11,18
2010,2,17,12,18
2010,2,17,13,12
2010,2,17,14,11
2010,2,17,15,11
2010,2,17,16,12
2010,2,17,17,9
2010,2,17,18,9
2010,2,17,19,27
2010,2,17,20,31
2010,2,17,21,39
2010,2,17,22,49
2010,2,17,23,48
2010,2,18,0,50
2010,2,18,1,38
2010,2,18,2,36
2010,2,18,3,41
2010,2,18,4,80
2010,2,18,5,70
2010,2,18,6,74
2010,2,18,7,77
2010,2,18,8,87
2010,2,18,9,107
2010,2,18,10,54
2010,2,18,11,36
2010,2,18,12,34
2010,2,18,13,19
2010,2,18,14,26
2010,2,18,15,27
2010,2,18,16,27
2010,2,18,17,29
2010,2,18,18,41
2010,2,18,19,47
2010,2,18,20,115
2010,2,18,21,265
2010,2,18,22,236
2010,2,18,23,296
2010,2,19,0,159
2010,2,19,1,119
2010,2,19,2,115
2010,2,19,3,168
2010,2,19,4,177
2010,2,19,5,191
2010,2,19,6,185
2010,2,19,7,157
2010,2,19,8,114
2010,2,19,9,117
2010,2,19,10,112
2010,2,19,11,107
2010,2,19,12,96
2010,2,19,13,99
2010,2,19,14,82
2010,2,19,15,58
2010,2,19,16,40
2010,2,19,17,45
2010,2,19,18,44
2010,2,19,19,49
2010,2,19,20,65
2010,2,19,21,101
2010,2,19,22,146
2010,2,19,23,165
2010,2,20,0,205
2010,2,20,1,191
2010,2,20,2,204
2010,2,20,3,190
2010,2,20,4,174
2010,2,20,5,144
2010,2,20,6,120
2010,2,20,7,122
2010,2,20,8,152
2010,2,20,9,158
2010,2,20,10,178
2010,2,20,11,184
2010,2,20,12,184
2010,2,20,13,185
2010,2,20,14,175
2010,2,20,15,165
2010,2,20,16,150
2010,2,20,17,163
2010,2,20,18,172
2010,2,20,19,184
2010,2,20,20,178
2010,2,20,21,211
2010,2,20,22,213
2010,2,20,23,282
2010,2,21,0,261
2010,2,21,1,215
2010,2,21,2,233
2010,2,21,3,235
2010,2,21,4,214
2010,2,21,5,205
2010,2,21,6,206
2010,2,21,7,220
2010,2,21,8,191
2010,2,21,9,189
2010,2,21,10,109
2010,2,21,11,65
2010,2,21,12,35
2010,2,21,13,35
2010,2,21,14,27
2010,2,21,15,36
2010,2,21,16,30
2010,2,21,17,23
2010,2,21,18,20
2010,2,21,19,30
2010,2,21,20,69
2010,2,21,21,99
2010,2,21,22,117
2010,2,21,23,154
2010,2,22,0,154
2010,2,22,1,136
2010,2,22,2,143
2010,2,22,3,132
2010,2,22,4,100
2010,2,22,5,89
2010,2,22,6,90
2010,2,22,7,90
2010,2,22,8,99
2010,2,22,9,92
2010,2,22,10,80
2010,2,22,11,56
2010,2,22,12,60
2010,2,22,13,72
2010,2,22,14,76
2010,2,22,15,79
2010,2,22,16,84
2010,2,22,17,92
2010,2,22,18,100
2010,2,22,19,95
2010,2,22,20,81
2010,2,22,21,95
2010,2,22,22,87
2010,2,22,23,86
2010,2,23,0,90
2010,2,23,1,111
2010,2,23,2,104
2010,2,23,3,129
2010,2,23,4,117
2010,2,23,5,105
2010,2,23,6,112
2010,2,23,7,130
2010,2,23,8,134
2010,2,23,9,136
2010,2,23,10,142
2010,2,23,11,150
2010,2,23,12,148
2010,2,23,13,160
2010,2,23,14,179
2010,2,23,15,183
2010,2,23,16,191
2010,2,23,17,195
2010,2,23,18,196
2010,2,23,19,218
2010,2,23,20,246
2010,2,23,21,264
2010,2,23,22,274
2010,2,23,23,282
2010,2,24,0,283
2010,2,24,1,242
2010,2,24,2,227
2010,2,24,3,223
2010,2,24,4,227
2010,2,24,5,227
2010,2,24,6,237
2010,2,24,7,243
2010,2,24,8,262
2010,2,24,9,296
2010,2,24,10,301
2010,2,24,11,302
2010,2,24,12,311
2010,2,24,13,307
2010,2,24,14,312
2010,2,24,15,298
2010,2,24,16,292
2010,2,24,17,299
2010,2,24,18,353
2010,2,24,19,368
2010,2,24,20,309
2010,2,24,21,284
2010,2,24,22,244
2010,2,24,23,218
2010,2,25,0,164
2010,2,25,1,153
2010,2,25,2,135
2010,2,25,3,134
2010,2,25,4,139
2010,2,25,5,148
2010,2,25,6,210
2010,2,25,7,218
2010,2,25,8,253
2010,2,25,9,266
2010,2,25,10,241
2010,2,25,11,235
2010,2,25,12,237
2010,2,25,13,248
2010,2,25,14,180
2010,2,25,15,176
2010,2,25,16,165
2010,2,25,17,138
2010,2,25,18,136
2010,2,25,19,136
2010,2,25,20,130
2010,2,25,21,118
2010,2,25,22,56
2010,2,25,23,55
2010,2,26,0,52
2010,2,26,1,46
2010,2,26,2,46
2010,2,26,3,45
2010,2,26,4,51
2010,2,26,5,53
2010,2,26,6,50
2010,2,26,7,46
2010,2,26,8,58
2010,2,26,9,75
2010,2,26,10,72
2010,2,26,11,82
2010,2,26,12,81
2010,2,26,13,91
2010,2,26,14,93
2010,2,26,15,90
2010,2,26,16,79
